order_id,user_id,product,price,order_date
6371a810-5cf8-4346-9b66-beea663876ce,f2f48219-0041-4853-a44b-212952889d25,Tablet,1031,2023-05-29
1a12eb3f-b962-4246-8dc6-705e521844bc,2c50a478-6a2a-4282-9ffc-a4720ecaeeef,Camera,898,2023-02-21
b0b476b7-d5b4-4e02-8655-800134abbe40,c8333ff0-da77-452f-b14c-582d00fd5ea9,Camera,533,2024-07-04
50d64d2e-9047-43eb-9642-28d20522954e,74e4c524-b833-45fd-85fa-e4e63359fb0d,Tablet,719,2023-11-09
bb19a959-70fc-4384-9649-a21fa78146b5,06654b6a-ca99-4f5d-9e1a-cc4874704e9b,Headphones,567,2022-10-13
afdfb900-f619-43c4-afa0-34fd9f81d1a2,95f1f6c2-6b6d-479c-b878-a84bb1abaa45,Laptop,1475,2023-08-08
f8510c2b-4f69-4002-b2b9-d209729d47da,1c070d75-0e49-4d7a-89c8-80b05ebb6bfa,Smartphone,985,2022-10-13
cfa4530f-584b-40cd-85f4-123c22db55f5,7cd342b4-cc69-4491-a2ab-856e18db73c0,Tablet,1458,2023-11-27
5a6f751f-9c23-42b9-a893-b8b6029001c7,71ebc12d-9765-4fef-bfab-a7a6210691c9,Laptop,1119,2023-03-10
69d1dff7-ebd6-4df1-a528-8d51230ee7a9,29d104c6-2f60-4912-9dee-130c3e47d7ac,Camera,552,2024-04-23
3e265654-bc5a-497a-8762-4672a5d953b8,43fecbbd-1529-4563-afb2-7e34c987e25c,Tablet,530,2023-06-23
cfdb0889-6799-474d-8640-3d99895afe70,65d5f9f1-698d-400f-a5b9-d5c93d93ffba,Laptop,159,2024-07-20
051ce9f3-45dc-4b44-bc34-bca539f53f74,114e89b8-c881-4ba4-b375-a68a9dd011f5,Tablet,705,2023-08-24
169d962f-4d4c-4644-bc2b-f323fed24c9a,1bd508ad-6a70-4bf0-a9e4-0cd75a92370c,Headphones,115,2022-11-08
42403466-c270-4c59-80af-cebde3a85282,16774b2a-1b32-444f-8150-d043d7bd011d,Headphones,379,2024-07-12
5bd4ec33-de93-4d10-bfd0-b0af490399a7,1c070d75-0e49-4d7a-89c8-80b05ebb6bfa,Smartphone,909,2023-06-15
14a7b895-149b-403c-ad9b-8ff6154414a4,29aca853-d0cf-4d37-ae36-ac5243757e40,Smartphone,391,2023-01-21
8b712ff2-0cde-4473-aad0-8a05c87b2f84,b18daa7b-5101-408c-a18f-e679730614d1,Tablet,587,2023-02-18
cd2fdede-e2bc-4202-bed2-a3f2eaa6e421,bf5b5f72-f2b9-40bd-9925-084c1603882f,Tablet,1131,2023-07-30
92c87fcd-db86-40e0-a02d-e2e6dddce17f,13cd331c-8879-46c8-bf80-1362de4917fd,Laptop,1050,2023-08-23
a63d6d2e-f4eb-464b-b363-24b03876f0b0,5dfdb921-edf1-4b44-be4f-c63d7ae7d22e,Tablet,1327,2023-05-23
78887515-10d1-433d-a4c1-c2b39f97483f,c347dc4a-7527-4215-88f2-7160589b2c12,Laptop,271,2023-09-20
f0340343-9a32-4a42-83f0-eba984b6b9dd,bf5b5f72-f2b9-40bd-9925-084c1603882f,Smartphone,151,2023-09-01
601a8407-a844-4e3b-868c-3246d28fbd88,34fba9a7-ae4b-478b-9cdd-5c259cc41442,Headphones,146,2023-01-16
3cec6192-ca1b-464d-900f-8cc168214897,447c07b5-86f2-4c27-8c33-f367b0c2ae5c,Laptop,557,2023-12-30
7c8e3ecc-d2fc-43e6-ab58-354b57e427eb,3b21efd0-1206-484e-94ca-18eac99c2508,Headphones,348,2023-05-07
64c86a58-b9e5-4531-99ff-6e34238e71a1,80605e36-c709-4a39-b984-4b63297a4b48,Smartphone,1183,2024-07-21
306110a5-7b92-4625-9756-ba486caf9438,c8333ff0-da77-452f-b14c-582d00fd5ea9,Camera,1018,2024-03-11
1aeb784f-8dcc-4bcf-a446-3cd2a82e5715,c8333ff0-da77-452f-b14c-582d00fd5ea9,Camera,1414,2022-10-19
6b134941-3e83-4c8a-a6c9-8952e7744391,897c87a4-0603-409f-b876-fd1d0cfb60fa,Headphones,1125,2023-04-11
308f3a21-6a1b-40da-a8b4-32080c988e75,fa6373ce-9ada-4a3c-8e71-0296a24d007d,Headphones,483,2023-03-30
6a5c29a4-d2e1-4f46-8a3f-838721ac4dfc,2603d426-0653-4ec7-9011-28fb32416c2e,Tablet,448,2024-04-15
800e04fc-d6bc-4fe2-a605-7a4fd115178d,4664ee6e-279e-4aa4-b1a7-01026ee2c777,Laptop,1086,2022-09-16
eef0a0b4-ee23-4800-86ab-18c64a01ac6d,c347dc4a-7527-4215-88f2-7160589b2c12,Smartphone,528,2022-11-27
b74dffeb-89b9-4faf-9483-42caff61891c,34e05096-ef5d-416a-8f51-8e38a0b61d20,Laptop,1398,2023-06-16
ad37b5b3-4f82-402f-8906-80a35a5711d2,3761fef7-75dc-4c5b-8d1c-6ef238229a82,Headphones,1050,2023-06-12
